set,card_name,card_number,quantity,batch_start_time,scraped_at,ungraded,grade_7,grade_8,grade_9,grade_95,psa_10,status,error_type,error_message,url
pokemon-white-flare,mandibuzz,145,1,2026-02-18T22:30:10.450954,2026-02-18T22:49:24.140335,$5.30,,$9.50,$14.88,$16.00,$72.56,,,,https://www.pricecharting.com/game/pokemon-white-flare/mandibuzz-145
pokemon-destined-rivals,team-rocket's-raticate,202,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:44.435589,$5.00,$9.50,$12.00,$19.42,$21.00,$71.42,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-raticate-202
pokemon-twilight-masquerade,timburr,183,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:40.911470,$4.74,$6.59,$7.56,$15.99,$17.31,$65.99,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/timburr-183
pokemon-destined-rivals,ethan's-adventure,221,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:45:08.885025,$4.27,$11.00,$13.34,$15.00,$17.00,$39.45,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-adventure-221
pokemon-destined-rivals,misty's-gyarados,49,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:43:10.973140,$2.47,$6.00,$17.50,$19.00,$21.00,$315.75,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/misty%27s-gyarados-49
pokemon-destined-rivals,yanmega-ex,206,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:18:36.615753,$2.30,$8.50,$11.50,$12.97,$14.00,$31.67,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/yanmega-ex-206
pokemon-journey-together,maractus,160,,2026-01-07T00:43:59.337569,2026-01-07T00:54:04.308068,$2.25,$6.44,$8.78,$13.19,$13.50,$39.50,,,,https://www.pricecharting.com/game/pokemon-journey-together/maractus-160
pokemon-white-flare,hilda-reverse,84,1,2026-02-18T22:30:10.450954,2026-02-18T22:49:08.236405,$2.22,,,$13.13,$14.00,$40.75,,,,https://www.pricecharting.com/game/pokemon-white-flare/hilda-reverse-84
pokemon-white-flare,jellicent-ex,160,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:25:25.055943,$2.19,,$5.50,$12.68,$14.00,$26.51,,,,https://www.pricecharting.com/game/pokemon-white-flare/jellicent-ex-160
pokemon-white-flare,tool-scrapper-poke-ball,85,1,2026-02-18T22:30:10.450954,2026-02-18T22:49:12.126281,$2.16,,,$15.00,$17.00,$39.26,,,,https://www.pricecharting.com/game/pokemon-white-flare/tool-scrapper-poke-ball-85
pokemon-white-flare,chandelure-reverse,18,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:22:17.702763,$2.15,,,$12.93,$14.00,$40.16,,,,https://www.pricecharting.com/game/pokemon-white-flare/chandelure-reverse-18
pokemon-white-flare,woobat-master-ball,36,1,2026-02-18T22:30:10.450954,2026-02-18T22:48:43.777514,$2.14,,,$12.90,$14.00,$23.25,,,,https://www.pricecharting.com/game/pokemon-white-flare/woobat-master-ball-36
pokemon-white-flare,hilda,84,1,2026-02-18T22:30:10.450954,2026-02-18T22:49:02.422195,$2.09,,,$12.78,$14.00,$39.53,,,,https://www.pricecharting.com/game/pokemon-white-flare/hilda-84
pokemon-white-flare,sigilyph-reverse,38,1,2026-02-18T22:30:10.450954,2026-02-18T22:48:50.054759,$2.09,,,$13.00,$14.00,$40.28,,,,https://www.pricecharting.com/game/pokemon-white-flare/sigilyph-reverse-38
pokemon-destined-rivals,arboliva-ex,207,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:58.433738,$2.01,$6.00,$8.09,$9.73,$11.00,$36.73,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/arboliva-ex-207
pokemon-journey-together,mimikyu-ex,69,1,2026-02-18T22:30:10.450954,2026-02-18T22:39:51.112485,$2.00,$6.00,$7.50,$16.20,$18.00,$70.33,,,,https://www.pricecharting.com/game/pokemon-journey-together/mimikyu-ex-69
pokemon-journey-together,n's-zoroark-ex,98,1,2026-02-18T22:30:10.450954,2026-02-18T22:42:32.090648,$1.99,$6.00,$7.72,$11.93,$13.00,$42.00,,,,https://www.pricecharting.com/game/pokemon-journey-together/n%27s-zoroark-ex-98
pokemon-twilight-masquerade,okidogi,111,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:31:57.825530,$1.94,,$7.50,,,,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/okidogi-111
pokemon-white-flare,lampent-reverse,17,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:21:22.029680,$1.91,,,$12.18,$13.00,$26.50,,,,https://www.pricecharting.com/game/pokemon-white-flare/lampent-reverse-17
pokemon-twilight-masquerade,greninja-ex,106,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:19:21.238978,$1.87,$8.00,$9.73,$12.50,$14.00,$31.99,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/greninja-ex-106
pokemon-destined-rivals,team-rocket's-energy-reverse-holo,182,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:45:01.997412,$1.79,,$7.50,$11.69,$13.00,$35.71,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-energy-reverse-holo-182
pokemon-journey-together,lillie's-clefairy-ex,56,1,2026-02-18T22:30:10.450954,2026-02-18T22:38:55.624961,$1.77,$7.50,$7.50,$10.86,$12.00,$30.00,,,,https://www.pricecharting.com/game/pokemon-journey-together/lillie%27s-clefairy-ex-56
pokemon-twilight-masquerade,sinistcha-ex,189,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:45.897771,$1.72,,$12.76,$14.00,$15.00,$42.50,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/sinistcha-ex-189
pokemon-journey-together,hop's-snorlax,117,1,2026-02-18T22:30:10.450954,2026-02-18T22:44:23.599474,$1.67,$9.00,$12.25,$15.80,$28.89,$70.74,,,,https://www.pricecharting.com/game/pokemon-journey-together/hop%27s-snorlax-117
pokemon-black-bolt,zekrom-ex,34,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:54:25.459945,$1.59,$9.95,$22.75,$25.00,$28.00,$38.09,,,,https://www.pricecharting.com/game/pokemon-black-bolt/zekrom-ex-34
pokemon-destined-rivals,snover-reverse-holo,59,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:15:33.476165,$1.57,,,$12.16,$13.00,$37.27,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/snover-reverse-holo-59
pokemon-destined-rivals,arven's-mabosstiff-ex,139,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:03.306904,$1.53,,$15.00,$17.00,$19.00,$37.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/arven%27s-mabosstiff-ex-139
pokemon-journey-together,salamence-ex,114,1,2026-02-18T22:30:10.450954,2026-02-18T22:44:06.932418,$1.50,,$11.90,$12.47,$22.00,$58.12,,,,https://www.pricecharting.com/game/pokemon-journey-together/salamence-ex-114
pokemon-twilight-masquerade,wellspring-mask-ogerpon-ex,64,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:59:52.204601,$1.47,,$5.51,$7.81,$9.00,$25.75,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/wellspring-mask-ogerpon-ex-64
pokemon-destined-rivals,steven's-metagross-ex,145,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:09.669402,$1.45,,$13.01,$14.00,$15.00,$40.05,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/steven%27s-metagross-ex-145
pokemon-white-flare,jellicent-ex,45,1,2026-02-18T22:30:10.450954,2026-02-18T22:48:55.064475,$1.44,,$14.88,$17.20,$19.00,$20.95,,,,https://www.pricecharting.com/game/pokemon-white-flare/jellicent-ex-45
pokemon-twilight-masquerade,magcargo-ex,29,1.0,2026-01-24T17:53:08.806524,2026-01-24T17:53:34.345837,$1.40,,$12.00,$13.00,$14.00,$24.25,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/magcargo-ex-29
pokemon-destined-rivals,ethan's-typhlosion,34,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:14:51.477766,$1.35,$7.50,$13.50,$23.75,$25.00,$237.50,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-typhlosion-34
pokemon-destined-rivals,team-rocket's-articuno,51,1,2026-02-18T22:30:10.450954,2026-02-18T22:30:55.312102,$1.34,$12.00,$15.00,$17.43,$29.00,$89.95,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-articuno-51
pokemon-destined-rivals,team-rocket's-transceiver,178,1,2026-02-18T22:30:10.450954,2026-02-18T22:32:29.019612,$1.33,,,$11.84,$13.00,$36.13,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-transceiver-178
pokemon-white-flare,keldeo-ex,30,1,2026-02-18T22:30:10.450954,2026-02-18T22:48:39.237615,$1.33,,$55.00,$61.00,$67.00,$73.00,,,,https://www.pricecharting.com/game/pokemon-white-flare/keldeo-ex-30
pokemon-journey-together,tyranitar-reverse-holo,95,1,2026-02-18T22:30:10.450954,2026-02-18T22:42:09.425654,$1.32,,$9.50,$11.52,$13.00,$34.89,,,,https://www.pricecharting.com/game/pokemon-journey-together/tyranitar-reverse-holo-95
pokemon-journey-together,minccino,125,1,2026-02-18T22:30:10.450954,2026-02-18T22:45:00.993573,$1.31,,,,,,,,,https://www.pricecharting.com/game/pokemon-journey-together/minccino-125
pokemon-twilight-masquerade,froslass,53,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:59:17.485955,$1.30,,,,,$13.50,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/froslass-53
pokemon-destined-rivals,team-rocket's-nidoran,117,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:17:00.335547,$1.29,,,$12.01,$13.00,$36.76,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-nidoran-117
pokemon-destined-rivals,regirock-ex,101,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:43:46.741974,$1.25,,$8.75,$10.00,$11.00,$36.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/regirock-ex-101
pokemon-journey-together,amoonguss-ex,11,1,2026-02-18T22:30:10.450954,2026-02-18T22:34:36.978687,$1.22,$5.25,$7.26,$8.85,$10.00,$41.65,,,,https://www.pricecharting.com/game/pokemon-journey-together/amoonguss-ex-11
pokemon-destined-rivals,ethan's-pichu,71,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:43:31.461665,$1.19,,,$19.24,$21.00,$78.87,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-pichu-71
pokemon-journey-together,ludicolo-reverse-holo,38,1,2026-02-18T22:30:10.450954,2026-02-18T22:37:25.877421,$1.17,,,$12.99,$14.00,$34.98,,,,https://www.pricecharting.com/game/pokemon-journey-together/ludicolo-reverse-holo-38
pokemon-black-bolt,air-balloon,79,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:55:55.147456,$1.16,,,$11.93,$13.00,$36.74,,,,https://www.pricecharting.com/game/pokemon-black-bolt/air-balloon-79
pokemon-destined-rivals,ethan's-cyndaquil,32,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:14:29.545926,$1.13,,$15.00,$17.00,$19.00,$31.62,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-cyndaquil-32
pokemon-destined-rivals,shaymin,10,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:13:52.997615,$1.10,,,$11.51,$13.00,$14.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/shaymin-10
pokemon-journey-together,n's-pp-up-reverse-holo,153,1,2026-02-18T22:30:10.450954,2026-02-18T22:47:57.548834,$1.10,,$23.00,$25.00,$28.00,$99.99,,,,https://www.pricecharting.com/game/pokemon-journey-together/n%27s-pp-up-reverse-holo-153
pokemon-journey-together,professor's-research-professor-sada,155,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:21:54.823334,$1.09,,,,,,,,,https://www.pricecharting.com/game/pokemon-journey-together/professor%27s-research-professor-sada-155
pokemon-twilight-masquerade,snorlax,136,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:06.362474,$1.06,,$14.50,$15.00,$17.00,$56.00,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/snorlax-136
pokemon-destined-rivals,floatzel-reverse-holo,58,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:43:16.121959,$1.03,,,$10.58,$12.00,$31.95,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/floatzel-reverse-holo-58
pokemon-destined-rivals,blaziken,42,1,2026-02-18T22:30:10.450954,2026-02-18T22:30:47.800053,$1.02,,,$12.00,$13.00,$40.67,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/blaziken-42
pokemon-destined-rivals,arcanine,28,,2026-01-07T00:43:59.337569,2026-01-07T00:44:40.309355,$0.99,,,$10.34,$11.00,$31.17,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/arcanine-28
pokemon-destined-rivals,team-rocket's-zapdos,70,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:16.685045,$0.99,,$6.50,$17.01,$35.00,$74.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-zapdos-70
pokemon-journey-together,paldean-clodsire-ex,94,1,2026-02-18T22:30:10.450954,2026-02-18T22:42:01.956721,$0.99,,$13.50,$15.00,$17.00,$50.00,,,,https://www.pricecharting.com/game/pokemon-journey-together/paldean-clodsire-ex-94
pokemon-stellar-crown,medicham-ex,80,1.0,2026-02-18T13:22:30.725024,2026-02-18T13:22:39.508964,$0.99,,$8.25,$11.37,$13.00,$24.45,,,,https://www.pricecharting.com/game/pokemon-stellar-crown/medicham-ex-80
pokemon-twilight-masquerade,luxray-ex,68,,2026-01-07T00:43:59.337569,2026-01-07T00:52:13.522384,$0.99,,$7.75,$8.50,$12.92,$28.82,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/luxray-ex-68
pokemon-white-flare,bouffalant-ex,77,,2026-01-07T00:43:59.337569,2026-01-07T00:57:47.180290,$0.99,,$54.99,$60.00,$66.00,$72.00,,,,https://www.pricecharting.com/game/pokemon-white-flare/bouffalant-ex-77
pokemon-white-flare,brave-bangle,80,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:24:53.750261,$0.99,,,$11.34,$12.00,$34.65,,,,https://www.pricecharting.com/game/pokemon-white-flare/brave-bangle-80
pokemon-white-flare,gothitelle,43,,2026-01-07T00:43:59.337569,2026-01-07T00:55:57.887444,$0.99,,,$10.71,$12.00,$32.51,,,,https://www.pricecharting.com/game/pokemon-white-flare/gothitelle-43
pokemon-white-flare,oshawott-poke-ball,21,,2026-01-07T00:43:59.337569,2026-01-07T00:54:42.589062,$0.99,,,$11.47,$13.00,$35.16,,,,https://www.pricecharting.com/game/pokemon-white-flare/oshawott-poke-ball-21
pokemon-white-flare,reshiram-ex,20,1,2026-02-18T22:30:10.450954,2026-02-18T22:48:35.408372,$0.99,,$8.27,$14.25,$14.96,$29.32,,,,https://www.pricecharting.com/game/pokemon-white-flare/reshiram-ex-20
pokemon-black-bolt,haxorus,70,,2026-01-07T00:43:59.337569,2026-01-07T00:51:35.558246,$0.98,,,$10.61,$12.00,$32.13,,,,https://www.pricecharting.com/game/pokemon-black-bolt/haxorus-70
pokemon-destined-rivals,mankey-reverse-holo,90,,2026-01-15T18:40:39.420291,2026-01-15T18:40:46.364323,$0.98,,,$11.23,$12.00,$34.19,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/mankey-reverse-holo-90
pokemon-destined-rivals,team-rocket's-tyranitar,96,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:16:48.474003,$0.98,$17.38,$18.50,$28.65,$32.00,$160.27,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-tyranitar-96
pokemon-black-bolt,prism-energy-reverse,86,,2026-01-05T14:00:30.919912,2026-01-05T14:04:20.379134,$0.97,,,$10.20,$11.00,$30.71,,,,https://www.pricecharting.com/game/pokemon-black-bolt/prism-energy-reverse-86
pokemon-destined-rivals,misty's-lapras,50,,2026-01-07T00:43:59.337569,2026-01-07T00:45:54.732612,$0.97,,$8.25,$10.50,$12.00,$35.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/misty%27s-lapras-50
pokemon-destined-rivals,arcanine-reverse-holo,28,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:14:20.958342,$0.95,,,$13.15,$14.00,$31.62,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/arcanine-reverse-holo-28
pokemon-destined-rivals,team-rocket's-articuno-reverse-holo,51,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:03.763411,$0.95,,,$6.55,$7.00,$75.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-articuno-reverse-holo-51
pokemon-destined-rivals,cynthia's-milotic,53,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:15:18.735603,$0.94,,,$11.16,$12.00,$49.99,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/cynthia%27s-milotic-53
pokemon-black-bolt,excadrill-ex,46,1,2026-02-18T22:30:10.450954,2026-02-18T22:33:13.067575,$0.93,,$40.00,$44.00,$48.00,$104.50,,,,https://www.pricecharting.com/game/pokemon-black-bolt/excadrill-ex-46
pokemon-twilight-masquerade,jamming-tower,153,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:33:22.256347,$0.90,,,$10.77,$12.00,$32.10,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/jamming-tower-153
pokemon-black-bolt,venipede-pokeball,54,,2026-01-05T14:00:30.919912,2026-01-05T14:03:28.014133,$0.88,,,$11.00,$12.00,$31.75,,,,https://www.pricecharting.com/game/pokemon-black-bolt/venipede-pokeball-54
pokemon-destined-rivals,cynthia's-gible-reverse-holo,102,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:43:53.235194,$0.88,,,$10.80,$12.00,$32.69,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/cynthia%27s-gible-reverse-holo-102
pokemon-destined-rivals,cynthia's-gabite,103,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:39.937001,$0.87,,,$8.17,$9.00,$55.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/cynthia%27s-gabite-103
pokemon-twilight-masquerade,torkoal,30,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:57:42.133965,$0.87,,,$10.77,$12.00,$32.11,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/torkoal-30
pokemon-destined-rivals,dwebble-reverse-holo,11,,2026-01-17T15:02:47.633422,2026-01-17T15:02:55.386133,$0.86,,,$11.14,$12.00,$33.86,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/dwebble-reverse-holo-11
pokemon-destined-rivals,marnie's-morgrem-reverse-holo,135,1,2026-02-18T22:30:10.450954,2026-02-18T22:31:57.627558,$0.86,,,$11.00,$12.00,$33.32,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/marnie%27s-morgrem-reverse-holo-135
pokemon-white-flare,purrloin-pokeball,55,,2025-12-02T23:44:48.494294,2025-12-02T23:47:54.188842,$0.86,,,$10.83,$12.00,$21.50,,,,https://www.pricecharting.com/game/pokemon-white-flare/purrloin-pokeball-55
pokemon-white-flare,frillish-reverse,44,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:22:25.896904,$0.85,,,$11.88,$13.00,$36.54,,,,https://www.pricecharting.com/game/pokemon-white-flare/frillish-reverse-44
pokemon-black-bolt,pansage-poke-ball,4,,2026-01-07T01:29:07.666525,2026-01-07T01:29:07.682432,$0.84,,,$11.13,$12.00,$33.98,,,,https://www.pricecharting.com/game/pokemon-black-bolt/pansage-poke-ball-4
pokemon-destined-rivals,energy-recycler,164,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:44:54.837202,$0.84,,,$11.15,$12.00,$33.90,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/energy-recycler-164
pokemon-destined-rivals,misty's-starmie-reverse-holo,47,,2026-01-07T00:43:59.337569,2026-01-07T00:45:48.880539,$0.80,,,$11.32,$12.00,$34.53,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/misty%27s-starmie-reverse-holo-47
pokemon-destined-rivals,team-rocket's-orbeetle-reverse-holo,89,1.0,2026-01-22T16:42:45.077992,2026-01-22T16:43:42.505658,$0.77,,,$11.06,$12.00,$33.58,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-orbeetle-reverse-holo-89
pokemon-twilight-masquerade,hisuian-arcanine,100,1.0,2026-01-23T20:53:06.228900,2026-01-23T22:31:36.283474,$0.76,,$5.75,$11.30,$12.00,$40.34,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/hisuian-arcanine-100
pokemon-black-bolt,pokegear-30,84,1.0,2026-01-23T20:53:06.228900,2026-01-23T20:56:16.090337,$0.75,,,$11.19,$12.00,$34.15,,,,https://www.pricecharting.com/game/pokemon-black-bolt/pokegear-30-84
pokemon-destined-rivals,ethan's-quilava-reverse-holo,33,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:14:45.016457,$0.74,,,$11.02,$12.00,$33.43,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/ethan%27s-quilava-reverse-holo-33
pokemon-destined-rivals,team-rocket's-archer,170,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:18:01.704340,$0.74,,,$10.94,$12.00,$33.15,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-archer-170
pokemon-white-flare,oshawott,21,,2026-01-07T00:43:59.337569,2026-01-07T00:54:34.707392,$0.74,,$10.00,$25.02,$28.00,$31.50,,,,https://www.pricecharting.com/game/pokemon-white-flare/oshawott-21
pokemon-destined-rivals,arven's-greedent,159,,2026-01-17T15:02:47.633422,2026-01-17T15:05:50.548111,$0.73,,,$7.00,$8.00,$34.88,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/arven%27s-greedent-159
pokemon-destined-rivals,growlithe-reverse-holo,27,,2026-01-04T17:25:37.624686,2026-01-04T17:25:51.614235,$0.73,,,$10.19,$11.00,$30.65,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/growlithe-reverse-holo-27
pokemon-destined-rivals,team-rocket's-mimikyu,87,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:16:22.020760,$0.73,,$22.07,$41.14,$45.00,$135.53,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-mimikyu-87
pokemon-destined-rivals,team-rocket's-spidops,20,,2026-01-07T00:43:59.337569,2026-01-07T00:44:26.745588,$0.73,,,$10.34,$11.00,$31.17,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-spidops-20
pokemon-journey-together,articuno,32,1,2026-02-18T22:30:10.450954,2026-02-18T22:36:48.760374,$0.73,,,$16.24,$18.00,$54.99,,,,https://www.pricecharting.com/game/pokemon-journey-together/articuno-32
pokemon-white-flare,scrafty-pokeball,58,,2025-12-02T23:44:48.494294,2025-12-02T23:48:09.594984,$0.73,,,$3.25,$4.00,$36.46,,,,https://www.pricecharting.com/game/pokemon-white-flare/scrafty-pokeball-58
pokemon-destined-rivals,team-rocket's-ariana-reverse-holo,171,1.0,2026-02-02T01:13:44.567582,2026-02-02T01:18:08.246655,$0.72,,,$10.88,$12.00,$32.96,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-ariana-reverse-holo-171
pokemon-destined-rivals,team-rocket's-proton,177,,2026-01-17T15:02:47.633422,2026-01-17T15:06:05.573955,$0.71,,,$10.97,$12.00,$33.30,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-proton-177
pokemon-journey-together,n's-reshiram,116,1,2026-02-18T22:30:10.450954,2026-02-18T22:44:16.632708,$0.71,,$10.50,$12.00,$13.00,$25.00,,,,https://www.pricecharting.com/game/pokemon-journey-together/n%27s-reshiram-116
pokemon-journey-together,tyranitar,95,1,2026-02-18T22:30:10.450954,2026-02-18T22:42:05.670315,$0.71,,$6.50,$17.43,$19.00,$46.69,,,,https://www.pricecharting.com/game/pokemon-journey-together/tyranitar-95
pokemon-twilight-masquerade,leafeon-reverse-holo,11,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:18:20.270232,$0.71,,,$14.63,$16.00,$33.39,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/leafeon-reverse-holo-11
pokemon-twilight-masquerade,teal-mask-ogerpon,24,1.0,2026-01-29T22:16:22.920602,2026-01-29T22:18:30.339239,$0.71,,$6.92,$8.75,$10.00,$70.00,,,,https://www.pricecharting.com/game/pokemon-twilight-masquerade/teal-mask-ogerpon-24
pokemon-journey-together,magearna,107,1,2026-02-18T22:30:10.450954,2026-02-18T22:43:40.661370,$0.70,,,$10.99,$12.00,$33.17,,,,https://www.pricecharting.com/game/pokemon-journey-together/magearna-107
pokemon-destined-rivals,team-rocket's-houndoom,38,,2026-01-07T00:43:59.337569,2026-01-07T00:45:12.633671,$0.69,,,$5.85,$6.00,$73.00,,,,https://www.pricecharting.com/game/pokemon-destined-rivals/team-rocket%27s-houndoom-38
